country_name,iso3c,short_name_unit,short_name,short_unit,category,weo_vintage,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Afghanistan,AFG,Real GDP (bn local currency),Real GDP,bn local currency,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.484,492.903,496.209,554.91,584.658,662.65,688.247,829.924,899.956,958.266,1092.12,1154.18,1185.31,1197.01,1222.92,1255.29,1270.22,1319.9,1288.87,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Real GDP (% change),Real GDP,% change,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.647,1.189,3.912,-2.351,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Nominal GDP (bn local currency),Nominal GDP,bn local currency,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,1033.59,1116.83,1183.04,1226.57,1222.92,1285.46,1327.69,1469.6,1547.29,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Nominal GDP (bn USD),Nominal GDP,bn USD,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.401,18.876,20.136,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Nominal GDP (bn PPP),Nominal GDP,bn PPP,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.661,21.792,22.527,25.982,28.22,32.848,34.772,42.198,46.309,50.334,59.945,63.784,69.444,72.056,70.098,74.712,77.406,81.873,80.912,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,GDP Deflator (index),GDP Deflator,index,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.418,44.636,49.618,54.951,59.149,64.513,75.192,73.167,79.088,87.264,94.641,96.764,99.809,102.469,100,102.404,104.525,111.341,120.05,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Real GDP per capita (local currency),Real GDP per capita,local currency,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24240.97,25307.04,24519.48,26491.22,27072.44,29547.74,29927.65,35172.94,37083.17,38282.44,42225.02,43169.34,42944.6,42110.88,41880.72,42265.57,40196.7,40990.73,39127.08,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Real GDP per capita (PPP),Real GDP per capita,PPP,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1442.77,1506.22,1459.35,1576.7,1611.29,1758.62,1781.23,2093.42,2207.11,2278.49,2513.14,2569.34,2555.97,2506.35,2492.65,2515.55,2392.42,2439.68,2328.76,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Nominal GDP per capita (local currency),Nominal GDP per capita,local currency,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9555.4,11296.1,12166.14,14557.09,16012.96,19062.11,22503.29,25734.84,29328.41,33406.83,39962.17,41772.32,42862.46,43150.71,41880.72,43281.49,42015.52,45639.64,46972.1,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Nominal GDP per capita (USD),Nominal GDP per capita,USD,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Nominal GDP per capita (PPP),Nominal GDP per capita,PPP,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050.99,1118.87,1113.15,1240.38,1306.71,1464.72,1512,1788.4,1908.19,2010.83,2317.69,2385.71,2516.01,2534.92,2400.62,2515.55,2449.57,2542.64,2456.29,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Output Gap (% of potential GDP),Output Gap,% of potential GDP,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,GDP % share of world total (PPP),GDP % share of world total,PPP,GDP,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0.037,0.036,0.038,0.038,0.041,0.041,0.05,0.051,0.053,0.06,0.06,0.063,0.064,0.06,0.061,0.06,0.06,0.061,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Implied PPP Conversion Rate (LC per int dollar),Implied PPP Conversion Rate,LC per int dollar,other,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.092,10.096,10.929,11.736,12.254,13.014,14.883,14.39,15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.152,17.95,19.123,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,Total Investment (% of GDP),Total Investment,% of GDP,savings & investment,2022 - Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.46,18.467,19.283,18.481,18.039,18.192,16.462,NA,NA,NA,NA,NA,NA,NA
